### START OF SIDE LOADING POSSIBLE HIJACK LIST - FORMAT (dllname, binary file)
(credui.dll,C:\Windows\System32\efsui.exe)
(credui.dll,C:\Windows\System32\fxssvc.exe)
(credui.dll,C:\Windows\System32\mstsc.exe)
(credui.dll,C:\Windows\System32\perfmon.exe)
(credui.dll,C:\Windows\System32\rekeywiz.exe)
(credui.dll,C:\Windows\System32\rpcping.exe)
(credui.dll,C:\Windows\System32\runas.exe)
(credui.dll,C:\Windows\System32\systempropertiesadvanced.exe)
(credui.dll,C:\Windows\System32\taskmgr.exe)
(credui.dll,C:\Windows\System32\wbadmin.exe)
(credui.dll,C:\Windows\System32\wfs.exe)
(credui.dll,C:\Windows\System32\wkspbroker.exe)
(cryptbase.dll,C:\Windows\System32\alg.exe)
(cryptbase.dll,C:\Windows\System32\calc.exe)
(cryptbase.dll,C:\Windows\System32\compmgmtlauncher.exe)
(cryptbase.dll,C:\Windows\System32\computerdefaults.exe)
(cryptbase.dll,C:\Windows\System32\disksnapshot.exe)
(cryptbase.dll,C:\Windows\System32\dpiscaling.exe)
(cryptbase.dll,C:\Windows\System32\efsui.exe)
(cryptbase.dll,C:\Windows\System32\filehistory.exe)
(cryptbase.dll,C:\Windows\System32\fodhelper.exe)
(cryptbase.dll,C:\Windows\System32\ie4uinit.exe)
(cryptbase.dll,C:\Windows\System32\lpksetup.exe)
(cryptbase.dll,C:\Windows\System32\mfpmp.exe)
(cryptbase.dll,C:\Windows\System32\mshta.exe)
(cryptbase.dll,C:\Windows\System32\mstsc.exe)
(cryptbase.dll,C:\Windows\System32\net1.exe)
(cryptbase.dll,C:\Windows\System32\netplwiz.exe)
(cryptbase.dll,C:\Windows\System32\netsh.exe)
(cryptbase.dll,C:\Windows\System32\presentationhost.exe)
(cryptbase.dll,C:\Windows\System32\quickassist.exe)
(cryptbase.dll,C:\Windows\System32\rdpclip.exe)
(cryptbase.dll,C:\Windows\System32\rekeywiz.exe)
(cryptbase.dll,C:\Windows\System32\resmon.exe)
(cryptbase.dll,C:\Windows\System32\rmactivate.exe)
(cryptbase.dll,C:\Windows\System32\rmactivate_ssp_isv.exe)
(cryptbase.dll,C:\Windows\System32\sdclt.exe)
(cryptbase.dll,C:\Windows\System32\slui.exe)
(cryptbase.dll,C:\Windows\System32\sppextcomobj.exe)
(cryptbase.dll,C:\Windows\System32\stordiag.exe)
(cryptbase.dll,C:\Windows\System32\tzsync.exe)
(cryptbase.dll,C:\Windows\System32\uevappmonitor.exe)
(cryptbase.dll,C:\Windows\System32\useraccountcontrolsettings.exe)
(cryptbase.dll,C:\Windows\System32\workfolders.exe)
(cryptbase.dll,C:\Windows\System32\write.exe)
(cryptbase.dll,C:\Windows\System32\wscadminui.exe)
(cryptdll.dll,C:\Windows\System32\at.exe)
(cryptsp.dll,C:\Windows\System32\bcdedit.exe)
(cryptsp.dll,C:\Windows\System32\disksnapshot.exe)
