### START OF SIDE LOADING POSSIBLE HIJACK LIST - FORMAT (dllname, binary file)
(fveapi.dll,C:\Windows\System32\fveprompt.exe)
(fveapi.dll,C:\Windows\System32\resetengine.exe)
(fveapi.dll,C:\Windows\System32\systemreset.exe)
(fveskybackup.dll,C:\Windows\System32\bitlockerdeviceencryption.exe)
(fvewiz.dll,C:\Windows\System32\bitlockerwizard.exe)
(fvewiz.dll,C:\Windows\System32\bitlockerwizardelev.exe)
(fwbase.dll,C:\Windows\System32\checknetisolation.exe)
(fwbase.dll,C:\Windows\System32\edpcleanup.exe)
(fwbase.dll,C:\Windows\System32\lpremove.exe)
(fwbase.dll,C:\Windows\System32\netsh.exe)
(fwbase.dll,C:\Windows\System32\securityhealthservice.exe)
(fwbase.dll,C:\Windows\System32\systemsettingsadminflows.exe)
(fwcfg.dll,C:\Windows\System32\netsh.exe)
(fwpolicyiomgr.dll,C:\Windows\System32\netsh.exe)
(fwpuclnt.dll,C:\Windows\System32\checknetisolation.exe)
(fwpuclnt.dll,C:\Windows\System32\netsh.exe)
(fxsapi.dll,C:\Windows\System32\fxsunatd.exe)
(fxstiff.dll,C:\Windows\System32\fxssvc.exe)
(getuname.dll,C:\Windows\System32\charmap.exe)
(hid.dll,C:\Windows\System32\psr.exe)
(hid.dll,C:\Windows\System32\tabcal.exe)
(hnetmon.dll,C:\Windows\System32\netsh.exe)
(httpapi.dll,C:\Windows\System32\netsh.exe)
(httpapi.dll,C:\Windows\System32\wifitask.exe)
(httpapi.dll,C:\Windows\System32\wsmanhttpconfig.exe)
(ieadvpack.dll,C:\Windows\System32\ie4uinit.exe)
(iedkcs32.dll,C:\Windows\System32\ie4uinit.exe)
(iertutil.dll,C:\Windows\System32\browserexport.exe)
(iertutil.dll,C:\Windows\System32\cipher.exe)
(iertutil.dll,C:\Windows\System32\iesettingsync.exe)
(iertutil.dll,C:\Windows\System32\launchwinapp.exe)
(iertutil.dll,C:\Windows\System32\microsoftedgebchost.exe)
(iertutil.dll,C:\Windows\System32\microsoftedgecp.exe)
(iertutil.dll,C:\Windows\System32\microsoftedgedevtools.exe)
(iertutil.dll,C:\Windows\System32\microsoftedgesh.exe)
(iertutil.dll,C:\Windows\System32\wwahost.exe)
(ifmon.dll,C:\Windows\System32\netsh.exe)
(ifsutil.dll,C:\Windows\System32\convert.exe)
(ifsutil.dll,C:\Windows\System32\fsavailux.exe)
(ifsutil.dll,C:\Windows\System32\label.exe)
(ifsutil.dll,C:\Windows\System32\recover.exe)
(ifsutil.dll,C:\Windows\System32\xcopy.exe)
(inproclogger.dll,C:\Windows\System32\easpolicymanagerbrokerhost.exe)
(iphlpapi.dll,C:\Windows\System32\arp.exe)
(iphlpapi.dll,C:\Windows\System32\colorcpl.exe)
(iphlpapi.dll,C:\Windows\System32\datausagelivetiletask.exe)
(iphlpapi.dll,C:\Windows\System32\devicecensus.exe)
(iphlpapi.dll,C:\Windows\System32\dnscacheugc.exe)
(iphlpapi.dll,C:\Windows\System32\fxscover.exe)
(iphlpapi.dll,C:\Windows\System32\fxssvc.exe)
(iphlpapi.dll,C:\Windows\System32\fxsunatd.exe)
(iphlpapi.dll,C:\Windows\System32\ipconfig.exe)
(iphlpapi.dll,C:\Windows\System32\mousocoreworker.exe)
(iphlpapi.dll,C:\Windows\System32\msra.exe)
(iphlpapi.dll,C:\Windows\System32\mstsc.exe)
(iphlpapi.dll,C:\Windows\System32\nbtstat.exe)
(iphlpapi.dll,C:\Windows\System32\net.exe)
(iphlpapi.dll,C:\Windows\System32\netbtugc.exe)
(iphlpapi.dll,C:\Windows\System32\netiougc.exe)
(iphlpapi.dll,C:\Windows\System32\netsh.exe)
(iphlpapi.dll,C:\Windows\System32\netstat.exe)
(iphlpapi.dll,C:\Windows\System32\omadmclient.exe)
(iphlpapi.dll,C:\Windows\System32\pathping.exe)
(iphlpapi.dll,C:\Windows\System32\printbrmui.exe)
(iphlpapi.dll,C:\Windows\System32\printui.exe)
(iphlpapi.dll,C:\Windows\System32\rdpclip.exe)
(iphlpapi.dll,C:\Windows\System32\route.exe)
(iphlpapi.dll,C:\Windows\System32\tracert.exe)
(iphlpapi.dll,C:\Windows\System32\w32tm.exe)
(iphlpapi.dll,C:\Windows\System32\wfs.exe)
(iphlpapi.dll,C:\Windows\System32\wifitask.exe)
(iphlpapi.dll,C:\Windows\System32\wpnpinst.exe)
(iri.dll,C:\Windows\System32\deviceenroller.exe)
(iri.dll,C:\Windows\System32\dmcertinst.exe)
(iri.dll,C:\Windows\System32\dmcfghost.exe)
(iri.dll,C:\Windows\System32\dmomacpmo.exe)
(iri.dll,C:\Windows\System32\hvsievaluator.exe)
(iri.dll,C:\Windows\System32\mdmappinstaller.exe)
(iri.dll,C:\Windows\System32\mdmdiagnosticstool.exe)
(iri.dll,C:\Windows\System32\omadmclient.exe)
(iri.dll,C:\Windows\System32\usocoreworker.exe)
(iscsidsc.dll,C:\Windows\System32\iscsicli.exe)
(iscsium.dll,C:\Windows\System32\iscsicli.exe)
(iumbase.dll,C:\Windows\System32\bioiso.exe)
(iumbase.dll,C:\Windows\System32\fsiso.exe)
(iumbase.dll,C:\Windows\System32\ngciso.exe)
(iumsdk.dll,C:\Windows\System32\bioiso.exe)
(iumsdk.dll,C:\Windows\System32\fsiso.exe)
(iumsdk.dll,C:\Windows\System32\ngciso.exe)
(joinutil.dll,C:\Windows\System32\djoin.exe)
(kdstub.dll,C:\Windows\System32\hvax64.exe)
(kdstub.dll,C:\Windows\System32\hvix64.exe)
(ksuser.dll,C:\Windows\System32\mfpmp.exe)
(ksuser.dll,C:\Windows\System32\osk.exe)
(ktmw32.dll,C:\Windows\System32\ktmutil.exe)
(ktmw32.dll,C:\Windows\System32\msdtc.exe)
(ktmw32.dll,C:\Windows\System32\mstsc.exe)
(ktmw32.dll,C:\Windows\System32\netsh.exe)
(ktmw32.dll,C:\Windows\System32\rstrui.exe)
(ktmw32.dll,C:\Windows\System32\srtasks.exe)
(ktmw32.dll,C:\Windows\System32\wkspbroker.exe)
(licensemanagerapi.dll,C:\Windows\System32\wsreset.exe)
(linkinfo.dll,C:\Windows\System32\certreq.exe)
(loadperf.dll,C:\Windows\System32\unlodctr.exe)
(lockhostingframework.dll,C:\Windows\System32\lockapphost.exe)
(logoncli.dll,C:\Windows\System32\certutil.exe)
(logoncli.dll,C:\Windows\System32\change.exe)
(logoncli.dll,C:\Windows\System32\chglogon.exe)
(logoncli.dll,C:\Windows\System32\chgport.exe)
(logoncli.dll,C:\Windows\System32\devicecensus.exe)
(logoncli.dll,C:\Windows\System32\djoin.exe)
(logoncli.dll,C:\Windows\System32\dsregcmd.exe)
(logoncli.dll,C:\Windows\System32\efsui.exe)
(logoncli.dll,C:\Windows\System32\gpresult.exe)
(logoncli.dll,C:\Windows\System32\klist.exe)
(logoncli.dll,C:\Windows\System32\ksetup.exe)
(logoncli.dll,C:\Windows\System32\net1.exe)
(logoncli.dll,C:\Windows\System32\nltest.exe)
(logoncli.dll,C:\Windows\System32\query.exe)
(logoncli.dll,C:\Windows\System32\quser.exe)
(logoncli.dll,C:\Windows\System32\qwinsta.exe)
(logoncli.dll,C:\Windows\System32\rekeywiz.exe)
(logoncli.dll,C:\Windows\System32\reset.exe)
(logoncli.dll,C:\Windows\System32\rwinsta.exe)
(logoncli.dll,C:\Windows\System32\setspn.exe)
(logoncli.dll,C:\Windows\System32\systempropertiesadvanced.exe)
(logoncli.dll,C:\Windows\System32\systemsettingsadminflows.exe)
(logoncli.dll,C:\Windows\System32\tscon.exe)
(logoncli.dll,C:\Windows\System32\tskill.exe)
(logoncli.dll,C:\Windows\System32\w32tm.exe)
(magnification.dll,C:\Windows\System32\magnify.exe)
(maintenanceui.dll,C:\Windows\System32\mschedexe.exe)
(mapistub.dll,C:\Windows\System32\fixmapi.exe)
(mbaexmlparser.dll,C:\Windows\System32\mbaeparsertask.exe)
(mdmdiagnostics.dll,C:\Windows\System32\mdmdiagnosticstool.exe)
(mfc42u.dll,C:\Windows\System32\devicepairingwizard.exe)
(mfc42u.dll,C:\Windows\System32\eudcedit.exe)
(mfc42u.dll,C:\Windows\System32\msconfig.exe)
(mfc42u.dll,C:\Windows\System32\msinfo32.exe)
(mfc42u.dll,C:\Windows\System32\mspaint.exe)
(mfc42u.dll,C:\Windows\System32\shrpubw.exe)
(mfc42u.dll,C:\Windows\System32\verifiergui.exe)
(mfc42u.dll,C:\Windows\System32\wfs.exe)
(mfcore.dll,C:\Windows\System32\mfpmp.exe)
(mfplat.dll,C:\Windows\System32\mdeserver.exe)
(mfplat.dll,C:\Windows\System32\mfpmp.exe)
(mi.dll,C:\Windows\System32\winrs.exe)
(mi.dll,C:\Windows\System32\wsmanhttpconfig.exe)
(mi.dll,C:\Windows\System32\wsmprovhost.exe)
(midimap.dll,C:\Windows\System32\osk.exe)
(miutils.dll,C:\Windows\System32\register-cimprovider.exe)
(miutils.dll,C:\Windows\System32\winrs.exe)
(miutils.dll,C:\Windows\System32\wsmanhttpconfig.exe)
(miutils.dll,C:\Windows\System32\wsmprovhost.exe)
(mlang.dll,C:\Windows\System32\calc.exe)
(mlang.dll,C:\Windows\System32\computerdefaults.exe)
(mlang.dll,C:\Windows\System32\fodhelper.exe)
(mlang.dll,C:\Windows\System32\ie4uinit.exe)
(mmdevapi.dll,C:\Windows\System32\audiodg.exe)
(mmdevapi.dll,C:\Windows\System32\osk.exe)
(mobilenetworking.dll,C:\Windows\System32\mbaeparsertask.exe)
(mobilenetworking.dll,C:\Windows\System32\netsh.exe)
(mpr.dll,C:\Windows\System32\bootcfg.exe)
(mpr.dll,C:\Windows\System32\driverquery.exe)
(mpr.dll,C:\Windows\System32\eventcreate.exe)
(mpr.dll,C:\Windows\System32\getmac.exe)
(mpr.dll,C:\Windows\System32\gpresult.exe)
(mpr.dll,C:\Windows\System32\iesettingsync.exe)
(mpr.dll,C:\Windows\System32\net.exe)
(mpr.dll,C:\Windows\System32\openfiles.exe)
(mpr.dll,C:\Windows\System32\pnpunattend.exe)
(mpr.dll,C:\Windows\System32\rdpclip.exe)
(mpr.dll,C:\Windows\System32\rekeywiz.exe)
(mpr.dll,C:\Windows\System32\sdclt.exe)
(mpr.dll,C:\Windows\System32\setupugc.exe)
(mpr.dll,C:\Windows\System32\systeminfo.exe)
(mpr.dll,C:\Windows\System32\taskkill.exe)
(mpr.dll,C:\Windows\System32\waitfor.exe)
(mprapi.dll,C:\Windows\System32\rasautou.exe)
(mrmcorer.dll,C:\Windows\System32\mcbuilder.exe)
(msacm32.dll,C:\Windows\System32\osk.exe)
(mscms.dll,C:\Windows\System32\colorcpl.exe)
(mscms.dll,C:\Windows\System32\dccw.exe)
(mscoree.dll,C:\Windows\System32\aitstatic.exe)
(mscoree.dll,C:\Windows\System32\presentationhost.exe)
(msctfmonitor.dll,C:\Windows\System32\credwiz.exe)
(msctfmonitor.dll,C:\Windows\System32\ctfmon.exe)
(msdrm.dll,C:\Windows\System32\gamepanel.exe)
(msdrm.dll,C:\Windows\System32\psr.exe)
(msdrm.dll,C:\Windows\System32\rmactivate.exe)
(msdrm.dll,C:\Windows\System32\rmactivate_isv.exe)
(msdrm.dll,C:\Windows\System32\snippingtool.exe)
(msdtctm.dll,C:\Windows\System32\msdtc.exe)
(msftedit.dll,C:\Windows\System32\charmap.exe)
(msftedit.dll,C:\Windows\System32\mspaint.exe)
(msi.dll,C:\Windows\System32\dxpserver.exe)
(msi.dll,C:\Windows\System32\fondue.exe)
(msi.dll,C:\Windows\System32\mdmappinstaller.exe)
(msi.dll,C:\Windows\System32\msiexec.exe)
(msi.dll,C:\Windows\System32\optionalfeatures.exe)
(msi.dll,C:\Windows\System32\packageinspector.exe)
(msiso.dll,C:\Windows\System32\browserexport.exe)
(msutb.dll,C:\Windows\System32\ctfmon.exe)
(msvcp110_win.dll,C:\Windows\System32\agentactivationruntimestarter.exe)
(msvcp110_win.dll,C:\Windows\System32\appidpolicyconverter.exe)
(msvcp110_win.dll,C:\Windows\System32\dmcertinst.exe)
(msvcp110_win.dll,C:\Windows\System32\dmomacpmo.exe)
(msvcp110_win.dll,C:\Windows\System32\locationnotificationwindows.exe)
(msvcp110_win.dll,C:\Windows\System32\mdmagent.exe)
(msvcp110_win.dll,C:\Windows\System32\mdmappinstaller.exe)
(msvcp110_win.dll,C:\Windows\System32\omadmclient.exe)
(msvcp110_win.dll,C:\Windows\System32\provlaunch.exe)
(msvcp110_win.dll,C:\Windows\System32\provtool.exe)
(msvcp110_win.dll,C:\Windows\System32\windowsactiondialog.exe)
(mswsock.dll,C:\Windows\System32\alg.exe)
(mswsock.dll,C:\Windows\System32\finger.exe)
(mswsock.dll,C:\Windows\System32\fsquirt.exe)
(mswsock.dll,C:\Windows\System32\nbtstat.exe)
(mtxclu.dll,C:\Windows\System32\msdtc.exe)
(ncrypt.dll,C:\Windows\System32\certreq.exe)
(ncrypt.dll,C:\Windows\System32\certutil.exe)
(ncrypt.dll,C:\Windows\System32\clipup.exe)
(ncrypt.dll,C:\Windows\System32\dmcertinst.exe)
(ncrypt.dll,C:\Windows\System32\dsregcmd.exe)
(ncrypt.dll,C:\Windows\System32\sgrmbroker.exe)
(ndfapi.dll,C:\Windows\System32\msra.exe)
(ndfapi.dll,C:\Windows\System32\netsh.exe)
(netapi32.dll,C:\Windows\System32\appvclient.exe)
(netapi32.dll,C:\Windows\System32\bootcfg.exe)
(netapi32.dll,C:\Windows\System32\certutil.exe)
(netapi32.dll,C:\Windows\System32\ie4uinit.exe)
(netapi32.dll,C:\Windows\System32\mstsc.exe)
(netapi32.dll,C:\Windows\System32\qappsrv.exe)
(netapi32.dll,C:\Windows\System32\spaceagent.exe)
(netapi32.dll,C:\Windows\System32\wbengine.exe)
(netid.dll,C:\Windows\System32\systempropertiesadvanced.exe)
(netiohlp.dll,C:\Windows\System32\netsh.exe)
(netplwiz.dll,C:\Windows\System32\netplwiz.exe)
(netprovfw.dll,C:\Windows\System32\djoin.exe)
(netshell.dll,C:\Windows\System32\netsh.exe)
(nettrace.dll,C:\Windows\System32\netsh.exe)
(netutils.dll,C:\Windows\System32\at.exe)
(netutils.dll,C:\Windows\System32\certutil.exe)
(netutils.dll,C:\Windows\System32\change.exe)
(netutils.dll,C:\Windows\System32\chglogon.exe)
(netutils.dll,C:\Windows\System32\chgport.exe)
(netutils.dll,C:\Windows\System32\credwiz.exe)
(netutils.dll,C:\Windows\System32\devicecensus.exe)
(netutils.dll,C:\Windows\System32\deviceenroller.exe)
(netutils.dll,C:\Windows\System32\djoin.exe)
(netutils.dll,C:\Windows\System32\dpapimig.exe)
(netutils.dll,C:\Windows\System32\driverquery.exe)
(netutils.dll,C:\Windows\System32\dsregcmd.exe)
(netutils.dll,C:\Windows\System32\easinvoker.exe)
(netutils.dll,C:\Windows\System32\edpcleanup.exe)
(netutils.dll,C:\Windows\System32\efsui.exe)
(netutils.dll,C:\Windows\System32\eventcreate.exe)
(netutils.dll,C:\Windows\System32\getmac.exe)
(netutils.dll,C:\Windows\System32\gpresult.exe)
(netutils.dll,C:\Windows\System32\ie4uinit.exe)
(netutils.dll,C:\Windows\System32\klist.exe)
(netutils.dll,C:\Windows\System32\ksetup.exe)
(netutils.dll,C:\Windows\System32\mshta.exe)
(netutils.dll,C:\Windows\System32\mstsc.exe)
(netutils.dll,C:\Windows\System32\net.exe)
(netutils.dll,C:\Windows\System32\net1.exe)
(netutils.dll,C:\Windows\System32\netplwiz.exe)
(netutils.dll,C:\Windows\System32\nltest.exe)
(netutils.dll,C:\Windows\System32\openfiles.exe)
(netutils.dll,C:\Windows\System32\query.exe)
(netutils.dll,C:\Windows\System32\quser.exe)
(netutils.dll,C:\Windows\System32\qwinsta.exe)
(netutils.dll,C:\Windows\System32\raserver.exe)
(netutils.dll,C:\Windows\System32\rekeywiz.exe)
(netutils.dll,C:\Windows\System32\reset.exe)
(netutils.dll,C:\Windows\System32\runas.exe)
(netutils.dll,C:\Windows\System32\rwinsta.exe)
(netutils.dll,C:\Windows\System32\setspn.exe)
(netutils.dll,C:\Windows\System32\shrpubw.exe)
(netutils.dll,C:\Windows\System32\spaceagent.exe)
(netutils.dll,C:\Windows\System32\systempropertiesadvanced.exe)
(netutils.dll,C:\Windows\System32\systemsettingsadminflows.exe)
(netutils.dll,C:\Windows\System32\taskkill.exe)
(netutils.dll,C:\Windows\System32\tasklist.exe)
(netutils.dll,C:\Windows\System32\tscon.exe)
(netutils.dll,C:\Windows\System32\tskill.exe)
(netutils.dll,C:\Windows\System32\w32tm.exe)
(netutils.dll,C:\Windows\System32\waitfor.exe)
(netutils.dll,C:\Windows\System32\wbengine.exe)
(netutils.dll,C:\Windows\System32\whoami.exe)
(newdev.dll,C:\Windows\System32\infdefaultinstall.exe)
(newdev.dll,C:\Windows\System32\pnpunattend.exe)
(newdev.dll,C:\Windows\System32\systemsettingsadminflows.exe)
(ninput.dll,C:\Windows\System32\multidigimon.exe)
(ninput.dll,C:\Windows\System32\tabcal.exe)
(nlaapi.dll,C:\Windows\System32\netsh.exe)
(nshhttp.dll,C:\Windows\System32\netsh.exe)
(nshipsec.dll,C:\Windows\System32\netsh.exe)
(nshwfp.dll,C:\Windows\System32\netsh.exe)
(ntdsapi.dll,C:\Windows\System32\certutil.exe)
(ntdsapi.dll,C:\Windows\System32\cipher.exe)
(ntdsapi.dll,C:\Windows\System32\gpresult.exe)
(ntdsapi.dll,C:\Windows\System32\nltest.exe)
(ntdsapi.dll,C:\Windows\System32\setspn.exe)
(ntdsapi.dll,C:\Windows\System32\w32tm.exe)
(ntlmshared.dll,C:\Windows\System32\at.exe)
(ntmarta.dll,C:\Windows\System32\cacls.exe)
(oleacc.dll,C:\Windows\System32\bootim.exe)
(oleacc.dll,C:\Windows\System32\cttune.exe)
(oleacc.dll,C:\Windows\System32\devicepairingwizard.exe)
(oleacc.dll,C:\Windows\System32\easeofaccessdialog.exe)
(oleacc.dll,C:\Windows\System32\fsquirt.exe)
(oleacc.dll,C:\Windows\System32\magnify.exe)
(oleacc.dll,C:\Windows\System32\optionalfeatures.exe)
(oleacc.dll,C:\Windows\System32\osk.exe)
(oleacc.dll,C:\Windows\System32\psr.exe)
(oleacc.dll,C:\Windows\System32\sethc.exe)
(oleacc.dll,C:\Windows\System32\snippingtool.exe)
(oleacc.dll,C:\Windows\System32\utilman.exe)
(oleacc.dll,C:\Windows\System32\wmpdmc.exe)
(omadmapi.dll,C:\Windows\System32\deviceenroller.exe)
(omadmapi.dll,C:\Windows\System32\dmcertinst.exe)
(omadmapi.dll,C:\Windows\System32\dmcfghost.exe)
(omadmapi.dll,C:\Windows\System32\dmomacpmo.exe)
(omadmapi.dll,C:\Windows\System32\hvsievaluator.exe)
(omadmapi.dll,C:\Windows\System32\mdmagent.exe)
(omadmapi.dll,C:\Windows\System32\mdmappinstaller.exe)
(omadmapi.dll,C:\Windows\System32\mdmdiagnosticstool.exe)
(omadmapi.dll,C:\Windows\System32\omadmclient.exe)
(omadmapi.dll,C:\Windows\System32\usocoreworker.exe)
(onex.dll,C:\Windows\System32\netsh.exe)
(opcservices.dll,C:\Windows\System32\proximityuxhost.exe)
(osbaseln.dll,C:\Windows\System32\fondue.exe)
(osbaseln.dll,C:\Windows\System32\optionalfeatures.exe)
(osksupport.dll,C:\Windows\System32\osk.exe)
(osuninst.dll,C:\Windows\System32\convert.exe)
(osuninst.dll,C:\Windows\System32\vds.exe)
(p2p.dll,C:\Windows\System32\netsh.exe)
(p2pnetsh.dll,C:\Windows\System32\netsh.exe)
(pcaui.dll,C:\Windows\System32\pcaui.exe)
(pcaui.dll,C:\Windows\System32\pcalua.exe)
(pdh.dll,C:\Windows\System32\plasrv.exe)
(pdh.dll,C:\Windows\System32\relog.exe)
(pdh.dll,C:\Windows\System32\taskmgr.exe)
(pdh.dll,C:\Windows\System32\tracerpt.exe)
(pdh.dll,C:\Windows\System32\typeperf.exe)
(peerdistsh.dll,C:\Windows\System32\netsh.exe)
(pkeyhelper.dll,C:\Windows\System32\sppsvc.exe)
(playsndsrv.dll,C:\Windows\System32\sethc.exe)
(policymanager.dll,C:\Windows\System32\displayswitch.exe)
(policymanager.dll,C:\Windows\System32\easpolicymanagerbrokerhost.exe)
(policymanager.dll,C:\Windows\System32\edpcleanup.exe)
(policymanager.dll,C:\Windows\System32\eduprintprov.exe)
(policymanager.dll,C:\Windows\System32\hvsievaluator.exe)
(policymanager.dll,C:\Windows\System32\mdmdiagnosticstool.exe)
(policymanager.dll,C:\Windows\System32\omadmclient.exe)
(policymanager.dll,C:\Windows\System32\settingsynchost.exe)
(policymanager.dll,C:\Windows\System32\workfolders.exe)
(polstore.dll,C:\Windows\System32\netsh.exe)
(powrprof.dll,C:\Windows\System32\fsquirt.exe)
(powrprof.dll,C:\Windows\System32\msinfo32.exe)
(powrprof.dll,C:\Windows\System32\printfilterpipelinesvc.exe)
(powrprof.dll,C:\Windows\System32\sfc.exe)
(printui.dll,C:\Windows\System32\printui.exe)
(prntvpt.dll,C:\Windows\System32\printfilterpipelinesvc.exe)
(profapi.dll,C:\Windows\System32\certreq.exe)
(profapi.dll,C:\Windows\System32\edpcleanup.exe)
(profapi.dll,C:\Windows\System32\immersivetpmvscmgrsvr.exe)
(profapi.dll,C:\Windows\System32\manage-bde.exe)
(profapi.dll,C:\Windows\System32\mousocoreworker.exe)
(profapi.dll,C:\Windows\System32\omadmclient.exe)
(profapi.dll,C:\Windows\System32\provtool.exe)
(profapi.dll,C:\Windows\System32\rmttpmvscmgrsvr.exe)
(profapi.dll,C:\Windows\System32\tpmvscmgrsvr.exe)
(profapi.dll,C:\Windows\System32\usocoreworker.exe)
(profapi.dll,C:\Windows\System32\wwahost.exe)
(propsys.dll,C:\Windows\System32\bootim.exe)
(propsys.dll,C:\Windows\System32\calc.exe)
(propsys.dll,C:\Windows\System32\colorcpl.exe)
(propsys.dll,C:\Windows\System32\compmgmtlauncher.exe)
(propsys.dll,C:\Windows\System32\computerdefaults.exe)
(propsys.dll,C:\Windows\System32\customshellhost.exe)
(propsys.dll,C:\Windows\System32\dpiscaling.exe)
(propsys.dll,C:\Windows\System32\dsregcmd.exe)
(propsys.dll,C:\Windows\System32\dxpserver.exe)
(propsys.dll,C:\Windows\System32\fodhelper.exe)
(propsys.dll,C:\Windows\System32\fondue.exe)
(propsys.dll,C:\Windows\System32\fxssvc.exe)
(propsys.dll,C:\Windows\System32\fxsunatd.exe)
(propsys.dll,C:\Windows\System32\mobsync.exe)
(propsys.dll,C:\Windows\System32\mspaint.exe)
(propsys.dll,C:\Windows\System32\netplwiz.exe)
(propsys.dll,C:\Windows\System32\optionalfeatures.exe)
(propsys.dll,C:\Windows\System32\pinenrollmentbroker.exe)
(propsys.dll,C:\Windows\System32\printbrmui.exe)
(propsys.dll,C:\Windows\System32\printui.exe)
(propsys.dll,C:\Windows\System32\proximityuxhost.exe)
(propsys.dll,C:\Windows\System32\quickassist.exe)
(propsys.dll,C:\Windows\System32\rdpclip.exe)
(propsys.dll,C:\Windows\System32\resmon.exe)
(propsys.dll,C:\Windows\System32\sdclt.exe)
(propsys.dll,C:\Windows\System32\settingsynchost.exe)
(propsys.dll,C:\Windows\System32\slui.exe)
(propsys.dll,C:\Windows\System32\synchost.exe)
(propsys.dll,C:\Windows\System32\systemsettingsadminflows.exe)
(propsys.dll,C:\Windows\System32\wfs.exe)
(propsys.dll,C:\Windows\System32\wkspbroker.exe)
(propsys.dll,C:\Windows\System32\workfolders.exe)
(propsys.dll,C:\Windows\System32\wpnpinst.exe)
(propsys.dll,C:\Windows\System32\write.exe)
(proximitycommon.dll,C:\Windows\System32\proximityuxhost.exe)
(proximityservicepal.dll,C:\Windows\System32\proximityuxhost.exe)
(prvdmofcomp.dll,C:\Windows\System32\register-cimprovider.exe)
(puiapi.dll,C:\Windows\System32\printui.exe)
(radcui.dll,C:\Windows\System32\wkspbroker.exe)
(rasapi32.dll,C:\Windows\System32\cmdl32.exe)
(rasapi32.dll,C:\Windows\System32\nethost.exe)
(rasapi32.dll,C:\Windows\System32\netsh.exe)
(rasapi32.dll,C:\Windows\System32\rasdial.exe)
(rasdlg.dll,C:\Windows\System32\rasautou.exe)
(rasman.dll,C:\Windows\System32\cmdl32.exe)
(rasman.dll,C:\Windows\System32\nethost.exe)
(rasman.dll,C:\Windows\System32\netsh.exe)
(rasman.dll,C:\Windows\System32\rasautou.exe)
(rasman.dll,C:\Windows\System32\rasdial.exe)
(rasmontr.dll,C:\Windows\System32\netsh.exe)
(reagent.dll,C:\Windows\System32\bootim.exe)
(reagent.dll,C:\Windows\System32\reagentc.exe)
(reagent.dll,C:\Windows\System32\recdisc.exe)
(reagent.dll,C:\Windows\System32\recoverydrive.exe)
(reagent.dll,C:\Windows\System32\relpost.exe)
(reagent.dll,C:\Windows\System32\resetengine.exe)
(reagent.dll,C:\Windows\System32\sdclt.exe)
(reagent.dll,C:\Windows\System32\systemreset.exe)
(regapi.dll,C:\Windows\System32\change.exe)
(regapi.dll,C:\Windows\System32\chglogon.exe)
(regapi.dll,C:\Windows\System32\query.exe)
(regapi.dll,C:\Windows\System32\reset.exe)
(reseteng.dll,C:\Windows\System32\bootim.exe)
(resetengine.dll,C:\Windows\System32\resetengine.exe)
(resetengine.dll,C:\Windows\System32\systemreset.exe)
(resutils.dll,C:\Windows\System32\msdtc.exe)
(rmclient.dll,C:\Windows\System32\netsh.exe)
(rmclient.dll,C:\Windows\System32\runtimebroker.exe)
(rpcnsh.dll,C:\Windows\System32\netsh.exe)
(rtutils.dll,C:\Windows\System32\dialer.exe)
(rtutils.dll,C:\Windows\System32\nethost.exe)
(rtutils.dll,C:\Windows\System32\rasautou.exe)
(rtutils.dll,C:\Windows\System32\rasdial.exe)
(rtutils.dll,C:\Windows\System32\rasphone.exe)
(rtworkq.dll,C:\Windows\System32\mdeserver.exe)
(rtworkq.dll,C:\Windows\System32\mfpmp.exe)
(samcli.dll,C:\Windows\System32\certutil.exe)
(samcli.dll,C:\Windows\System32\change.exe)
(samcli.dll,C:\Windows\System32\chglogon.exe)
(samcli.dll,C:\Windows\System32\chgport.exe)
(samcli.dll,C:\Windows\System32\credwiz.exe)
(samcli.dll,C:\Windows\System32\deviceenroller.exe)
(samcli.dll,C:\Windows\System32\dpapimig.exe)
(samcli.dll,C:\Windows\System32\easinvoker.exe)
(samcli.dll,C:\Windows\System32\net.exe)
(samcli.dll,C:\Windows\System32\net1.exe)
(samcli.dll,C:\Windows\System32\netplwiz.exe)
(samcli.dll,C:\Windows\System32\query.exe)
(samcli.dll,C:\Windows\System32\quser.exe)
(samcli.dll,C:\Windows\System32\qwinsta.exe)
(samcli.dll,C:\Windows\System32\raserver.exe)
(samcli.dll,C:\Windows\System32\reset.exe)
(samcli.dll,C:\Windows\System32\rwinsta.exe)
(samcli.dll,C:\Windows\System32\systemsettingsadminflows.exe)
(samcli.dll,C:\Windows\System32\tscon.exe)
(samcli.dll,C:\Windows\System32\tskill.exe)
(samcli.dll,C:\Windows\System32\wpcmon.exe)
(samlib.dll,C:\Windows\System32\dpapimig.exe)
(samlib.dll,C:\Windows\System32\easinvoker.exe)
(samlib.dll,C:\Windows\System32\netplwiz.exe)
(sas.dll,C:\Windows\System32\quickassist.exe)
(scansetting.dll,C:\Windows\System32\wiaacmgr.exe)
(scansetting.dll,C:\Windows\System32\wiawow64.exe)
(scecli.dll,C:\Windows\System32\convert.exe)
(scecli.dll,C:\Windows\System32\secedit.exe)
(schedcli.dll,C:\Windows\System32\at.exe)
(secur32.dll,C:\Windows\System32\appvclient.exe)
(secur32.dll,C:\Windows\System32\calc.exe)
(secur32.dll,C:\Windows\System32\certreq.exe)
(secur32.dll,C:\Windows\System32\certutil.exe)
